signing_team,contracts,total_guarantee,realized_cost,price_prediction_contracts,total_guarantee_baseline_residual,realized_production_value_low,contract_alpha_low,realized_production_value_base,contract_alpha_base,realized_production_value_high,contract_alpha_high,alpha_roi_percent_low,alpha_per_contract_low,alpha_roi_percent_base,alpha_per_contract_base,alpha_roi_percent_high,alpha_per_contract_high,realized_production_value,contract_alpha,alpha_roi_percent,alpha_per_contract
CHC,21,683000000.0,472523809.52380955,19,358717774.0099599,272191080.6818146,-200332728.8419949,362921440.90908617,-109602368.61472338,453651801.1363577,-18872008.387451828,-42.3963247574513,-9539653.75438071,-23.195099676601743,-5219160.410224923,-3.993874595752175,-898667.0660691346,362921440.90908617,-109602368.61472338,-23.195099676601743,-5219160.410224923
SEA,7,187250000.0,159000000.0,6,82779591.88748209,35132553.39681242,-123867446.60318759,46843404.52908322,-112156595.47091678,58554255.66135403,-100445744.33864596,-77.90405446741359,-17695349.514741085,-70.53873928988477,-16022370.78155954,-63.17342411235596,-14349392.048377994,46843404.52908322,-112156595.47091678,-70.53873928988477,-16022370.78155954
ATL,17,356450000.0,281712345.67901236,10,111562130.26102011,122950990.59123512,-158761355.08777723,163934654.12164682,-117777691.55736552,204918317.65205854,-76794028.0269538,-56.355838685420096,-9338903.240457484,-41.80778491389346,-6928099.503374442,-27.25973114236682,-4517295.7662914,163934654.12164682,-117777691.55736552,-41.80778491389346,-6928099.503374442
CIN,11,266050000.0,223227777.77777776,8,32069715.04032496,74112627.09792268,-149115150.67985508,98816836.13056357,-124410941.64721419,123521045.16320448,-99706732.61457328,-66.79954984289569,-13555922.789077735,-55.73273312386092,-11310085.604292199,-44.66591640482614,-9064248.419506662,98816836.13056357,-124410941.64721419,-55.73273312386092,-11310085.604292199
MIA,8,140000000.0,127490740.74074073,7,38568725.593543895,1340104.295638091,-126150636.44510263,1786805.7275174577,-125703935.01322328,2233507.15939682,-125257233.5813439,-98.94886147193758,-15768829.555637829,-98.59848196258343,-15712991.87665291,-98.2481024532293,-15657154.197667988,1786805.7275174577,-125703935.01322328,-98.59848196258343,-15712991.87665291
DET,15,332796154.0,265794159.85185182,13,146657927.11788082,104185370.48810528,-161608789.36374655,138913827.3174737,-126880332.53437813,173642284.14684215,-92151875.70500968,-60.802234877479606,-10773919.290916437,-47.73631316997281,-8458688.835625209,-34.67039146246601,-6143458.380333979,138913827.3174737,-126880332.53437813,-47.73631316997281,-8458688.835625209
COL,4,199750000.0,121750000.0,4,170731684.16363254,-8376826.933553819,-130126826.93355381,-11169102.578071756,-132919102.57807176,-13961378.222589698,-135711378.2225897,-106.88035066410991,-32531706.733388454,-109.17380088547989,-33229775.64451794,-111.46725110684986,-33927844.555647425,-11169102.578071756,-132919102.57807176,-109.17380088547989,-33229775.64451794
MIN,15,452150000.0,318905555.5555556,11,99590171.06095493,136856396.35820752,-182049159.19734803,182475195.14427668,-136430360.41127884,228093993.93034583,-90811561.62520969,-57.08560293978127,-12136610.613156535,-42.78080391970836,-9095357.360751923,-28.47600489963546,-6054104.108347313,182475195.14427668,-136430360.41127884,-42.78080391970836,-9095357.360751923
TOR,20,746550000.0,555716292.8518518,18,337216711.23522013,292959549.8830181,-262756742.96883377,390612733.1773574,-165103559.67449445,488265916.47169673,-67450376.38015509,-47.28253361448267,-13137837.14844169,-29.710044819310223,-8255177.983724723,-12.13755602413778,-3372518.8190077543,390612733.1773574,-165103559.67449445,-29.710044819310223,-8255177.983724723
LAD,31,1952905766.0,740990569.037037,27,418332083.86542916,404153959.1858094,-336836609.85122764,538871945.5810792,-202118623.45595786,673589931.976349,-67400637.06068806,-45.45761092330333,-10865697.091975085,-27.276814564404443,-6519955.5953534795,-9.096018205505551,-2174214.098731873,538871945.5810792,-202118623.45595786,-27.276814564404443,-6519955.5953534795
HOU,13,434500000.0,335296296.2962963,11,219088356.52316728,89338260.11541313,-245958036.18088317,119117680.15388417,-216178616.14241213,148897100.19235522,-186399196.10394108,-73.35542888416929,-18919848.936991014,-64.47390517889238,-16629124.318647087,-55.592381473615475,-14338399.70030316,119117680.15388417,-216178616.14241213,-64.47390517889238,-16629124.318647087
BOS,21,522250000.0,419667715.7407407,19,99714203.49436957,152086256.21912238,-267581459.52161834,202781674.95882985,-216886040.7819109,253477093.6985373,-166190622.04220343,-63.760315479431085,-12741974.262934206,-51.68042063924145,-10327906.70390052,-39.60052579905181,-7913839.14486683,202781674.95882985,-216886040.7819109,-51.68042063924145,-10327906.70390052
PHI,19,1084000003.0,681286965.7441077,17,451355378.8822853,348013053.8844563,-333273911.85965145,464017405.17927504,-217269560.56483272,580021756.4740938,-101265209.27001397,-48.91828680380619,-17540732.20313955,-31.89104907174159,-11435240.029728038,-14.86381133967699,-5329747.856316525,464017405.17927504,-217269560.56483272,-31.89104907174159,-11435240.029728038
ARI,13,538000000.0,289800581.2592593,10,253659489.8118128,52258960.317143254,-237541620.94211602,69678613.75619102,-220121967.50306827,87098267.19523877,-202702314.0640205,-81.96726863346359,-18272432.38016277,-75.95635817795147,-16932459.03869756,-69.94544772243933,-15592485.697232347,69678613.75619102,-220121967.50306827,-75.95635817795147,-16932459.03869756
CHW,16,388000000.0,320379629.6296296,10,145686126.6592795,71068682.38391948,-249310947.24571016,94758243.1785593,-225621386.4510703,118447803.97319913,-201931825.65643048,-77.81735297400856,-15581934.202856885,-70.42313729867806,-14101336.653191894,-63.02892162334757,-12620739.103526905,94758243.1785593,-225621386.4510703,-70.42313729867806,-14101336.653191894
WSN,17,405453703.0,319052952.3518518,11,-33798516.59797091,59090643.11113792,-259962309.24071392,78787524.1481839,-240265428.20366797,98484405.18522987,-220568547.16662198,-81.47936175623515,-15291900.543571407,-75.30581567498021,-14133260.482568704,-69.13226959372525,-12974620.421565998,78787524.1481839,-240265428.20366797,-75.30581567498021,-14133260.482568704
TEX,22,1092300000.0,685040079.1234567,16,780123668.5922451,327085702.78320175,-357954376.340255,436114270.37760234,-248925808.74585444,545142837.972003,-139897241.15145382,-52.2530560253169,-16270653.470011592,-36.33740803375586,-11314809.488447929,-20.421760042194812,-6358965.506884265,436114270.37760234,-248925808.74585444,-36.33740803375586,-11314809.488447929
NYY,16,1315300000.0,647362962.962963,14,678024703.1969773,297755598.53725016,-349607364.4257128,397007464.7163335,-250355498.24662948,496259330.8954169,-151103632.06754607,-54.00484495213771,-21850460.27660705,-38.67312660285029,-15647218.640414342,-23.34140825356285,-9443977.00422163,397007464.7163335,-250355498.24662948,-38.67312660285029,-15647218.640414342
SFG,28,908650000.0,615739815.4074074,23,461995658.20030576,259808406.63819286,-355931408.7692145,346411208.8509238,-269328606.5564836,433014011.0636547,-182725804.34375265,-57.80548859483947,-12711836.027471947,-43.74065145978597,-9618878.805588702,-29.67581432473247,-6525921.583705452,346411208.8509238,-269328606.5564836,-43.74065145978597,-9618878.805588702
LAA,19,594650000.0,450633333.3333333,16,182526084.29170036,89732846.60761817,-360900486.72571516,119643795.47682422,-330989537.8565091,149554744.3460303,-301078588.987303,-80.08739257172465,-18994762.459248167,-73.44985676229953,-17420501.992447846,-66.8123209528744,-15846241.525647527,119643795.47682422,-330989537.8565091,-73.44985676229953,-17420501.992447846
NYM,32,1960716666.0,974037406.111111,28,1336286305.4957247,362880464.41953915,-611156941.691572,483840619.2260522,-490196786.8850589,604800774.0325652,-369236632.0785458,-62.74470958272989,-19098654.427861623,-50.326279443639855,-15318649.59015809,-37.90784930454981,-11538644.752454557,483840619.2260522,-490196786.8850589,-50.326279443639855,-15318649.59015809
